id,smiles,notes,params_json
CHEMBL179678,O=C(Nc1ccccc1C(=O)O)c1ccc(-c2cccc(OC(F)(F)F)c2)c(Oc2ccccc2)c1,,
CHEMBL179681,O=C(O)C(=O)CC(=O)c1ccsc1,,
CHEMBL179682,Cc1ccccc1S(=O)(=O)NC(=O)NNC(=O)c1ccccc1S(N)(=O)=O,,
CHEMBL180085,COc1ccc2c(c1)CS[C@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1,,
CHEMBL180087,C[C@H](Nc1cc(NCCc2ccccc2)ncn1)c1ccccc1,,
CHEMBL3326985,COc1ccccc1-c1ccccc1CNC(=O)CCCCN1CCN(c2ccccc2OC)CC1,,
CHEMBL181303,CC(=O)N1NC(c2ccc(O)cc2)CC1c1ccccc1Cl,,
CHEMBL181304,Cc1ccccc1C(=O)c1cnc(Nc2cccc(C(F)(F)F)c2)s1,,
CHEMBL179604,COc1ccc2c(c1)c(Cc1ccccc1OC(C)(C)C(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,,
CHEMBL179359,O=C(CCCCCCCc1ccccc1)c1nnc(-c2ccco2)o1,,
CHEMBL179287,O=C(N[C@H](C(=O)O)c1ccccc1)c1cc(-c2ccc(OC(F)(F)F)cc2)cs1,,
CHEMBL180528,C[C@@H](NC(=O)C(=O)[C@H](CCCCNC(=O)N1CCOCC1)NC(=O)OCC1(Cc2ccc(F)cc2)CCC1)c1ccccc1,,
CHEMBL180529,CN(CC(O)c1ccccc1)c1cc(=O)n2ccc3ccccc3c2n1,,
CHEMBL180530,Cc1ccccc1C1CCCN1C,,
CHEMBL180532,COc1ccccc1/C=C/c1cccc(O)c1,,
CHEMBL180536,Cc1ccccc1-c1cc(C(OCc2cccc(I)c2)c2cncn2C)ccc1C#N,,
CHEMBL180458,NS(=O)(=O)c1ccccc1-c1ccc(CNC(=O)/C=C\C(=O)NCc2ccc(-c3cccs3)s2)cc1,,
CHEMBL180387,CS(=O)(=O)c1ccccc1C#CCN[C@H]1CCC[C@@H]1C(=O)NCc1ccc(-c2cccs2)s1,,
CHEMBL180238,CN(C(=O)N[C@H](Cc1ccccc1)C(=O)NCCCN1CCOCC1)c1ccc(Oc2ccccc2)cc1,,
